model,y,side,reference_x,uncertainty_px,predicted_x,signed_px,absolute_px,outside_reference_band_px
sam,1450,0,2370,20,2222.271973428683,-147.72802657131706,147.72802657131706,127.72802657131706
sam,1550,0,2210,15,2132.5432033399766,-77.45679666002343,77.45679666002343,62.45679666002343
sam,1850,0,2107,15,2066.0197660665403,-40.98023393345966,40.98023393345966,25.980233933459658
sam,2250,0,2122,15,2087.9783177903505,-34.0216822096495,34.0216822096495,19.021682209649498
sam,2650,0,2138,15,2092.9358046519815,-45.06419534801853,45.06419534801853,30.06419534801853
sam,1650,1,3395,15,3376.873706060236,-18.126293939763855,18.126293939763855,3.1262939397638547
nlf,1450,0,2370,20,2455.9553287105905,85.95532871059049,85.95532871059049,65.95532871059049
nlf,1550,0,2210,15,2264.863697679204,54.86369767920405,54.86369767920405,39.86369767920405
nlf,1850,0,2107,15,2143.617557314952,36.61755731495214,36.61755731495214,21.617557314952137
nlf,2250,0,2122,15,2190.529994530242,68.52999453024222,68.52999453024222,53.52999453024222
nlf,2650,0,2138,15,2173.84200476109,35.84200476108981,35.84200476108981,20.84200476108981
nlf,1650,1,3395,15,3323.28429665722,-71.71570334278022,71.71570334278022,56.715703342780216
