id,role,atlas_mean_displacement_px,camera_delta_mm,local_vertex_mean_delta_mm,joint_count,baseline_mean_px,baseline_nme,baseline_pck05,adapted_mean_px,adapted_nme,adapted_pck05,delta_nme
C09,unused_in_updates,0.6679859365453306,9.438654899597168,6.641847610473633,12,2.7668922637255684,0.016054900983324613,1.0,2.7592084462958417,0.016010315608741905,1.0,-4.4585374582708365e-05
C10,unused_in_updates,0.38746764608112666,6.35849142074585,4.326888084411621,12,5.904651124967059,0.01885672515718401,0.9166666666666666,5.824468112796261,0.018600657695994536,0.9166666666666666,-0.0002560674611894742
C11,unused_in_updates,0.17034503964734732,24.903060913085938,9.442747116088867,12,3.7657123916595094,0.027574289934179905,0.8333333333333334,3.764150016639133,0.027562849500785896,0.8333333333333334,-1.144043339400963e-05
C12,unused_in_updates,0.5338916736464984,2.400688886642456,8.608236312866211,6,20.162703755832865,0.047176321079802935,0.8333333333333334,20.883512801919956,0.04886285674521902,0.8333333333333334,0.0016865356654160862
C13,unused_in_updates,0.3773782002042678,2.9834022521972656,5.947993278503418,10,4.84762664390749,0.050765144201849056,0.6,4.755972998924766,0.049805332144123714,0.6,-0.0009598120577253427
C14,unused_in_updates,1.4735152061214978,16.17024803161621,7.933691024780273,4,2.9331632431454775,0.01684622644849383,1.0,3.242034944326617,0.018620189296892627,1.0,0.0017739628483987961
C15,unused_in_updates,0.14669896395931548,3.006624460220337,4.0185546875,12,2.8917353577811578,0.018075906450164984,1.0,2.8872080236750204,0.018047606603309712,1.0,-2.8299846855272398e-05
C16,unused_in_updates,0.9473512071946583,3.295207977294922,4.242491722106934,6,10.083650939568274,0.04217962589280484,0.6666666666666666,9.771040760360423,0.04087198637927023,0.6666666666666666,-0.00130763951353461
C17,unused_in_updates,0.23715370393881577,12.491021156311035,3.346062421798706,8,8.131219688293122,0.06263666734061447,0.625,7.978713309777866,0.06146187540723024,0.625,-0.0011747919333842324
C18,unused_in_updates,0.3581303899174971,2.172793388366699,4.882502555847168,12,5.460841887061169,0.02303435581404429,0.9166666666666666,5.480723278651162,0.023118217434181527,0.9166666666666666,8.386162013723775e-05
C19,unused_in_updates,0.08558358013122622,13.407012939453125,4.769547939300537,12,2.7690536308729956,0.021998908999265033,1.0,2.721878894445698,0.021624126538514626,1.0,-0.00037478246075040716
C20,unused_in_updates,0.20070426385928805,1.9263724088668823,4.618133068084717,10,4.885650711466333,0.023119715953889432,0.9,4.925309263773781,0.023307386853558695,0.9,0.0001876708996692636
C21,unused_in_updates,0.6146715640359717,3.8352155685424805,5.241139888763428,10,6.229393497651982,0.019027499044723988,1.0,6.125991751082368,0.018711661453982977,1.0,-0.00031583759074101103
C22,unused_in_updates,0.16374886953224774,4.111255168914795,4.619256496429443,12,2.213992608269096,0.018913194186512047,1.0,2.188416176322474,0.01869470564133901,1.0,-0.00021848854517303798
