epoch,primary_mm,subject_median_mm,subject_tail_p90_mm,subject_tail_p95_mm,mean_frame_p90_mm,mean_frame_p95_mm,rendered_median_mm,rendered_p90_mm,rendered_p95_mm,rendered_coverage,surface_train_loss_m,optimizer_updates,person_exposures,elapsed_seconds,parameter_sanity
1,29.74557723772204,26.655935834409178,45.28275866709926,51.488467707115205,76.6097574632721,101.37505155192567,56.17644786834717,144.00709629058838,181.20364069938654,0.6990426112406369,0.06381167984671063,12,45,297.7834131717682,True
2,34.33183446031744,29.86407290219959,53.26748242157336,57.80692102517303,84.64694719393485,111.34483043836494,74.83965158462524,177.03342199325564,213.4438824653624,0.6553896522644973,0.03590135193533368,24,90,461.02067589759827,True
3,36.25721956967976,36.52228401037,53.798652142277476,56.72840194694173,84.52049193802982,109.17629331286575,76.11051797866821,190.49654006958008,226.41488671302787,0.6270858164481525,0.028702054669459662,36,135,621.9331111907959,True
4,34.09721433175475,29.206183546867667,53.171215346760604,57.21046580423442,81.03246763074179,105.15218357862602,74.10666942596436,182.92648315429688,219.6128380298614,0.6472856261566934,0.026092336637278397,48,180,772.599865436554,True
5,34.76355125200697,31.920263711529863,53.538022205236565,57.33548282929356,85.07485491790467,110.16954365023237,75.45706033706665,187.0307540893555,217.85488247871393,0.6417858561779897,0.023705994565453796,60,225,933.0580914020538,True
6,34.503740669421575,31.626595259039576,53.15892329494732,56.7541220270037,87.845164704746,112.92597257442549,74.35011863708496,188.68143558502203,221.56970739364624,0.6470500595947557,0.022081948216590618,72,270,1085.145456790924,True
7,33.89080759158661,31.99394942700376,51.901179486727095,55.808187291031444,86.50046860668252,109.99819911421864,71.99108600616455,183.07341814041143,216.5591645240783,0.6474970202622169,0.02152537525528007,84,315,1245.2210729122162,True
8,33.7477134841145,29.66476734835409,52.02064445323524,56.552059268884896,90.02767474868467,113.9584082518788,72.50570058822632,184.19363260269165,219.49121475219727,0.6540524433849821,0.021446268488135602,96,360,1392.5894939899445,True
9,33.366956428253765,30.69868222732826,51.299089347273636,55.343213536559304,91.65135617980539,116.01291435136022,69.30890083312988,184.12305355072021,219.79444861412048,0.6559892729439809,0.01964663780397839,108,405,1548.4108219146729,True
10,34.58164920837896,33.29882572337611,52.371840601978576,56.01475519895365,93.83043423382841,122.27040197093179,70.68084478378296,187.0239281654358,222.33586192131042,0.6448649185538339,0.01974614436427752,120,450,1707.051697254181,True
