subject,sequence,frame_id,method,heldout_delta_mm,aligned_delta_mm,K0_delta_mm,K1_delta_mm,K2_delta_mm,K3_delta_mm,change_translation_delta_mm,change_translation_norm_mm,change_pose_l2,change_shape_l2,mesh_median_displacement_mm
Sub07,Date06_Sub07_stool_sit,Sub07/Date06_Sub07_stool_sit/t0015.000,O3,12.69129851903864,1.2373457418611196,-2.1916412240118532,2.1826476698278334,10.31538261769581,17.586900765139497,"[-30.94257354736328, -7.585287094116211, -24.80792999267578]",40.37836837768555,0.0,0.27196845412254333,40.210166931152344
Sub07,Date06_Sub07_stool_sit,Sub07/Date06_Sub07_stool_sit/t0015.000,O4,9.116312089122019,-0.7325188962772486,-4.913351460467542,-0.27173164748928613,6.74039618777919,9.984952565634558,"[-40.95752716064453, -2.167820930480957, -28.430461883544922]",49.90500259399414,0.14151540398597717,0.2810876965522766,31.79561996459961
Sub07,Date06_Sub07_stool_sit,Sub07/Date06_Sub07_stool_sit/t0015.000,O2,8.64157206189472,-0.14479617914535226,-4.655976781051436,-0.2782728946930604,6.265656160551892,9.511843324095977,"[-41.00318145751953, -3.21042537689209, -28.50818634033203]",50.04282760620117,0.1451977640390396,0.0,32.50501251220703
Sub07,Date06_Sub07_stool_sit,Sub07/Date06_Sub07_stool_sit/t0027.000,O3,8.20892601566188,-0.40712039309789816,-0.08427695369125487,9.079780603112404,21.164085640699767,8.20892601566188,"[-2.3386330604553223, 1.3375282287597656, -33.29396057128906]",33.40278625488281,0.0,0.32203981280326843,33.531707763671875
Sub07,Date06_Sub07_backpack_back,Sub07/Date06_Sub07_backpack_back/t0027.000,O3,4.433938890428326,0.14102632402171267,-0.2537540532731839,0.693737466684567,4.433938890428326,-0.051244420567648774,"[-0.43320655822753906, 13.026714324951172, -5.461215972900391]",14.131802558898926,0.0,0.330018550157547,16.634033203125
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0027.000,O4,3.07235127828255,3.285282972568538,-6.864670059467418,3.8897399888216775,0.23638265526981073,3.07235127828255,"[7.2127580642700195, 54.69548797607422, 29.13379669189453]",62.38908767700195,0.15142321586608887,0.3501759469509125,52.71864700317383
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0019.000,O2,2.9927153406940086,0.7205190589674046,-7.653298137449603,-0.47833297934317365,3.250913084750472,-0.7422834012170796,"[-1.4000012874603271, -29.216527938842773, -15.31982421875]",33.019126892089844,0.1095580980181694,0.0,33.3729248046875
Sub06,Date05_Sub06_yogaball_play,Sub06/Date05_Sub06_yogaball_play/t0024.000,O2,2.791925523818662,0.8383399837436336,-5.327203240989361,2.791925523818662,-9.960581845203748,-7.345803829156502,"[21.139413833618164, -1.9184350967407227, 19.09160614013672]",28.548986434936523,0.13344237208366394,0.0,21.578121185302734
Sub05,Date03_Sub05_yogaball,Sub05/Date03_Sub05_yogaball/t0019.000,O3,2.750992207334555,-0.6081392406481907,-5.253934795262763,1.9716971909738472,3.8107981749542965,-0.9840065345765332,"[2.685241460800171, -53.095458984375, -16.592741012573242]",55.69252395629883,0.0,0.22778940200805664,54.98154830932617
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0027.000,O2,2.6386867392196294,3.112395692928292,-6.457144619025476,3.571004077000236,0.06837898169412071,2.6386867392196294,"[7.391523361206055, 52.62506103515625, 30.01093864440918]",61.03022003173828,0.1525440216064453,0.0,52.31974411010742
