subject,sequence,frame_id,method,heldout_delta_mm,aligned_delta_mm,K0_delta_mm,K1_delta_mm,K2_delta_mm,K3_delta_mm,change_translation_delta_mm,change_translation_norm_mm,change_pose_l2,change_shape_l2,mesh_median_displacement_mm
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0015.000,O3,-31.46243247842351,-0.34640687504975176,-11.522939472265492,-14.733084771139723,-36.585472331155216,-31.46243247842351,"[23.530424118041992, 10.781407356262207, 58.08794403076172]",63.593467712402344,0.0,0.20923537015914917,64.87109375
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0015.000,O2,-26.825038409289657,0.1997600535709303,-13.03250326171559,-15.933387938074052,-28.990825555544436,-26.825038409289657,"[11.384725570678711, 4.555821418762207, 42.6081428527832]",44.337581634521484,0.12787678837776184,0.0,57.16518020629883
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0015.000,O4,-26.718850691098538,0.46259464743682344,-13.165008738470691,-15.585288329531735,-28.97777986332139,-26.718850691098538,"[13.063311576843262, 0.34117698669433594, 41.14448928833008]",43.16984558105469,0.1262066811323166,0.19993992149829865,56.72927474975586
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0050.000,O4,-8.366797204565248,-0.14206216661243687,-5.057783812129618,-8.366797204565248,-1.5151046719387793,-11.23810390239118,"[17.518415451049805, 0.16808509826660156, -5.153656005859375]",18.261526107788086,0.10378313809633255,0.18999268114566803,27.425920486450195
Sub06,Date05_Sub06_yogaball_play,Sub06/Date05_Sub06_yogaball_play/t0024.000,O3,-8.15279006942572,0.25341366490637185,-0.04093066154148062,-8.15279006942572,-19.536748488523976,-6.3652105298569595,"[4.805207252502441, -16.092418670654297, 21.844863891601562]",27.5545654296875,0.0,0.34238097071647644,26.363712310791016
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0050.000,O2,-8.084827886290878,0.20275625976979939,-5.081319092036855,-8.084827886290878,-1.6078795032329278,-11.388029194522314,"[17.197237014770508, 5.5446624755859375, -3.903627395629883]",18.4858455657959,0.10459863394498825,0.0,27.838165283203125
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0014.000,O2,-7.7219416035855595,-10.539487438094852,-10.774489115069661,-4.982539842746412,-7.2286686941911285,-7.7219416035855595,"[-4.318535327911377, 9.270310401916504, 17.873525619506836]",20.592506408691406,0.17095907032489777,0.0,65.23043823242188
Sub05,Date03_Sub05_stool,Sub05/Date03_Sub05_stool/t0050.000,O3,-7.3491263026300135,-0.5931496981405502,-4.350413623243799,-7.3491263026300135,-2.1443959767791743,-11.767209820260348,"[16.329795837402344, 2.164483070373535, -6.725072860717773]",17.79252052307129,0.0,0.22354058921337128,18.374853134155273
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0014.000,O4,-7.219326704683731,-10.57358279254137,-11.02978823076382,-6.297988838128777,-7.57684856300963,-7.219326704683731,"[-3.527522087097168, 9.05144214630127, 15.204429626464844]",18.04291343688965,0.16894768178462982,0.25823768973350525,66.92304992675781
Sub06,Date05_Sub06_stool_sit,Sub06/Date05_Sub06_stool_sit/t0038.000,O4,-5.742208408917417,0.79847556552944,-6.931957724093312,-6.526175852744558,-10.218696034065498,-1.1504547349549554,"[-9.9881591796875, -13.426423072814941, 16.852855682373047]",23.749755859375,0.1375070959329605,0.23112961649894714,33.64299392700195
