subject,sequence,frame_id,method,absolute_median_mm,absolute_mean_mm,absolute_p90_mm,absolute_p95_mm,absolute_coverage_50mm,aligned_median_mm
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0014.000,O0,35.37018238558325,46.157343073139884,101.62568187630094,117.43510168994396,0.6316,25.43754362023219
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0014.000,O1,24.354734423444974,38.22133731120225,87.97424221977856,104.2301997149257,0.6918,25.710795372032088
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0014.000,O2,16.632792819859414,29.529918477322056,62.83938757328909,93.92246790929936,0.8686,15.171307933937236
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0014.000,O3,23.90738678903982,37.80873385384168,86.67772440278173,104.79983406799755,0.6972,25.608409305050266
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0014.000,O4,17.135407718761243,30.189576356985008,63.68524826670354,95.46455495372565,0.867,15.137212579490718
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0026.000,O0,21.41797241111461,36.718621821015965,55.4124144321205,77.24196707599437,0.8738,17.273307857463987
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0026.000,O1,21.24009310350079,38.64679797919956,59.516029204220914,82.44215257874598,0.8522,16.741325692735707
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0026.000,O2,19.884793456372616,35.467450830844676,54.572206430422085,76.02524438131957,0.879,16.81363540582084
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0026.000,O3,19.365955328084972,38.79186670524111,60.83990534435349,84.16699190137531,0.847,15.578889562913798
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0026.000,O4,19.451000816610854,36.532485839999765,58.240590309878826,81.02942985017606,0.8688,17.183766940295023
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0036.000,O0,19.04765015211185,40.22094083007595,53.04382707211436,63.97176863338234,0.879,16.620315097583365
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0036.000,O1,18.60942857424976,40.292234850296104,53.021342590409475,63.66853768236722,0.8802,16.69697177769453
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0036.000,O2,17.45355705969768,39.60841309332925,55.872026085276104,70.31063671440477,0.8674,13.589746688290948
