subject,sequence,method,frames,absolute_median_mm,absolute_p90_mm,absolute_p95_mm,absolute_coverage_50mm,aligned_median_mm
Sub03,Date03_Sub03_backpack_back,O0,3,21.41797241111461,55.4124144321205,77.24196707599437,0.8738,17.273307857463987
Sub03,Date03_Sub03_backpack_back,O1,3,21.24009310350079,59.516029204220914,82.44215257874598,0.8522,16.741325692735707
Sub03,Date03_Sub03_backpack_back,O2,3,17.45355705969768,55.872026085276104,76.02524438131957,0.8686,15.171307933937236
Sub03,Date03_Sub03_backpack_back,O3,3,19.919314094052176,65.32595174141143,84.16699190137531,0.8116,18.240871330795553
Sub03,Date03_Sub03_backpack_back,O4,3,17.15928315420763,58.240590309878826,81.02942985017606,0.8688,15.137212579490718
Sub03,Date03_Sub03_stool_sit,O0,3,15.349125656026377,39.617120882615794,47.54177667905272,0.954,11.974103176526825
Sub03,Date03_Sub03_stool_sit,O1,3,13.503669296238376,40.301839865016085,48.42446655471594,0.956,12.036793081935777
Sub03,Date03_Sub03_stool_sit,O2,3,13.673205272767463,39.73751529346646,47.0845530291293,0.9576,10.724039075481073
Sub03,Date03_Sub03_stool_sit,O3,3,14.620111269660605,41.113196280110834,49.02143371337597,0.9558,11.908142625453703
Sub03,Date03_Sub03_stool_sit,O4,3,13.577272180455205,38.623816621452505,45.36511078202592,0.958,10.552311981699136
Sub03,Date03_Sub03_yogaball_play,O0,3,30.8043305078709,72.73648811052298,87.3100569588784,0.7128,18.303948334465705
Sub03,Date03_Sub03_yogaball_play,O1,3,16.709310228363055,54.02677099790952,86.55749636947664,0.8922,16.147384662496243
Sub03,Date03_Sub03_yogaball_play,O2,3,16.600137040346798,44.29548454984367,68.09930851820344,0.917,15.269668367077418
Sub03,Date03_Sub03_yogaball_play,O3,3,17.39600940648738,55.92700848012375,95.0686943957678,0.8894,16.264715022289742
Sub03,Date03_Sub03_yogaball_play,O4,3,16.977603543116928,45.059293651155784,69.7492926054428,0.9156,15.233563638094576
Sub04,Date03_Sub04_backpack_back,O0,3,20.929512141634767,52.57995549895189,60.552298224746764,0.8842,10.381279000209883
Sub04,Date03_Sub04_backpack_back,O1,3,8.728416506685466,31.04173031841433,47.02809452401049,0.9558,8.980250081306522
Sub04,Date03_Sub04_backpack_back,O2,3,8.265689096424634,27.490611952918243,33.010685521735546,0.9834,8.11263855838024
Sub04,Date03_Sub04_backpack_back,O3,3,9.54379042253992,32.95298946187002,40.11154053421276,0.9756,9.010764627312296
Sub04,Date03_Sub04_backpack_back,O4,3,8.10302935188686,27.02554145546054,32.50192659050934,0.9836,7.747544004514669
Sub04,Date03_Sub04_stool_sit,O0,3,16.94819719067128,71.61180759480496,81.04020602716446,0.8254,12.400785003880912
Sub04,Date03_Sub04_stool_sit,O1,3,13.245366427990353,35.02751335881008,47.39414077395868,0.9586,11.869925964384187
Sub04,Date03_Sub04_stool_sit,O2,3,11.386948841367332,31.230295377092276,40.8593512796553,0.9738,10.016394724478094
Sub04,Date03_Sub04_stool_sit,O3,3,12.695919497166045,33.873061006856716,47.650990944307765,0.958,11.918720463458808
Sub04,Date03_Sub04_stool_sit,O4,3,10.922652921052004,30.49687230639875,40.689105019847474,0.9734,9.819602263204029
Sub04,Date03_Sub04_yogaball_play,O0,3,33.424803559669925,87.42636882708803,101.06761589338615,0.6648,14.019744939218885
Sub04,Date03_Sub04_yogaball_play,O1,3,11.462372703083805,36.01380042251044,45.72041285652275,0.9574,8.971659199073553
Sub04,Date03_Sub04_yogaball_play,O2,3,7.852571767021558,30.425525085067218,45.89219783915117,0.9532,7.448487376534752
Sub04,Date03_Sub04_yogaball_play,O3,3,10.24878432225114,34.18352981261742,45.746861365177885,0.9586,8.807981897052734
Sub04,Date03_Sub04_yogaball_play,O4,3,7.691645019350515,30.314233750173237,45.677695069314375,0.9532,7.4122905453458845
Sub05,Date03_Sub05_backpack,O0,3,39.54183167759986,83.45372780108352,100.66375452127522,0.6154,15.804278804922504
Sub05,Date03_Sub05_backpack,O1,3,16.78294739122428,36.12699179860652,46.56714821478926,0.9564,10.98247805119453
Sub05,Date03_Sub05_backpack,O2,3,16.108079913456802,35.12323561951662,46.139628970898364,0.9592,12.761870136347069
Sub05,Date03_Sub05_backpack,O3,3,14.680998818799148,37.32113056328622,49.69067733025765,0.9508,10.949671688235227
Sub05,Date03_Sub05_backpack,O4,3,15.298195674031527,34.8188224794017,45.15131282095884,0.959,12.474401519416931
Sub05,Date03_Sub05_stool,O0,3,42.16316220917952,103.10026912404369,124.11921044162958,0.5752,19.049679154999517
Sub05,Date03_Sub05_stool,O1,3,16.623275346865196,43.17363711390476,53.57505917175768,0.9294,9.321834018990259
Sub05,Date03_Sub05_stool,O2,3,14.25903779583928,32.93352531006557,42.08492433958767,0.9708,10.834763523028332
Sub05,Date03_Sub05_stool,O3,3,13.472201309752016,41.043059980645204,47.891591748437335,0.9572,9.30151684925103
Sub05,Date03_Sub05_stool,O4,3,13.703700470281817,32.662347849816676,41.09456440783701,0.9706,10.169565595081199
Sub05,Date03_Sub05_yogaball,O0,3,38.433703942590384,89.40042693947603,105.98421304537833,0.6218,23.266380018463714
Sub05,Date03_Sub05_yogaball,O1,3,15.800855319222952,41.14935387270835,50.61298679947339,0.9488,11.190717297555185
Sub05,Date03_Sub05_yogaball,O2,3,12.622287576374568,35.44336046492057,41.455069612111906,0.973,8.409797753109698
Sub05,Date03_Sub05_yogaball,O3,3,13.940627507299912,36.35355888729644,40.620348727280394,0.9702,10.582578056906994
Sub05,Date03_Sub05_yogaball,O4,3,12.333469054115898,34.60999788887093,40.18056829732085,0.9748,8.426353735654416
Sub06,Date05_Sub06_backpack_back,O0,3,23.8413849676247,59.350182993985115,69.72110237207738,0.8386,16.525243065887643
Sub06,Date05_Sub06_backpack_back,O1,3,16.335006946363933,46.49246723733338,60.06762859373321,0.9148,15.98679970978365
Sub06,Date05_Sub06_backpack_back,O2,3,13.295449280542938,47.88478310472126,69.04086551166536,0.9048,12.870143524902982
Sub06,Date05_Sub06_backpack_back,O3,3,15.415611999631,47.106001196076775,61.717408017531056,0.912,16.045078506536978
Sub06,Date05_Sub06_backpack_back,O4,3,13.303928717233246,48.52278801502897,69.85000081487624,0.9032,13.037077538068864
Sub06,Date05_Sub06_stool_sit,O0,3,32.8469879990312,80.90123940810876,97.58370065972481,0.7044,18.794419299519532
Sub06,Date05_Sub06_stool_sit,O1,3,26.336649760695998,68.88383032508844,96.75656182583643,0.8064,18.7608176068118
Sub06,Date05_Sub06_stool_sit,O2,3,23.385503409128887,73.81998025327246,103.39799295192982,0.7858,17.69754852639837
Sub06,Date05_Sub06_stool_sit,O3,3,25.84061735168042,72.05695899485629,94.93097114486821,0.7922,18.726203077931864
Sub06,Date05_Sub06_stool_sit,O4,3,23.01134367493433,74.50158521650616,105.58464573697552,0.785,17.479274267722396
Sub06,Date05_Sub06_yogaball_play,O0,3,31.885200345276647,83.83575407495319,99.02023661854588,0.665,18.134554994588335
Sub06,Date05_Sub06_yogaball_play,O1,3,20.91144984893653,71.17407072785802,84.5336664669686,0.776,18.00045723870002
Sub06,Date05_Sub06_yogaball_play,O2,3,18.62693598376461,55.33708551310197,69.52217705304413,0.866,16.02562559667954
Sub06,Date05_Sub06_yogaball_play,O3,3,19.60448834689606,67.72334094368759,80.12110608360376,0.8084,18.25387090360639
Sub06,Date05_Sub06_yogaball_play,O4,3,18.592629722412386,55.3972043453463,69.61395867634097,0.862,15.960199621678079
Sub07,Date06_Sub07_backpack_back,O0,3,35.88898868087643,83.78184468409319,97.16690876902267,0.6352,21.271090445234524
Sub07,Date06_Sub07_backpack_back,O1,3,16.18184348748431,42.04058846586598,56.251173122202346,0.93,14.047138150390209
Sub07,Date06_Sub07_backpack_back,O2,3,14.986080383017686,43.68228233297877,64.4649206678975,0.9216,12.676068468905683
Sub07,Date06_Sub07_backpack_back,O3,3,16.62294894272572,45.10196905039578,59.70541629158242,0.9232,14.463101891867602
Sub07,Date06_Sub07_backpack_back,O4,3,15.472373124861157,44.52360554899152,63.49750015547339,0.9232,12.443615847078775
Sub07,Date06_Sub07_stool_sit,O0,3,25.80541710622453,124.97664076784808,144.39958825237412,0.7082,22.86287200749274
Sub07,Date06_Sub07_stool_sit,O1,3,29.28286197975907,86.33676802865482,121.27918941192678,0.7414,22.05676108800555
Sub07,Date06_Sub07_stool_sit,O2,3,32.98876309860798,99.88083178965492,134.97292549841026,0.6844,21.9119649088602
Sub07,Date06_Sub07_stool_sit,O3,3,38.205026521911904,105.7118053102515,138.31439442315875,0.6116,22.6661269007666
