subject,method,frames,absolute_median_mm,absolute_p90_mm,absolute_p95_mm,absolute_coverage_50mm,aligned_median_mm
Sub03,O0,9,21.41797241111461,55.4124144321205,77.24196707599437,0.8738,17.13312027984579
Sub03,O1,9,18.60942857424976,54.02677099790952,82.44215257874598,0.8802,16.461141950207924
Sub03,O2,9,16.632792819859414,54.572206430422085,70.31063671440477,0.879,15.171307933937236
Sub03,O3,9,18.848744807474965,60.83990534435349,80.65212545733466,0.847,16.114735075158173
Sub03,O4,9,17.135407718761243,55.10255043155372,69.7492926054428,0.8712,15.137212579490718
Sub04,O0,9,27.088578860635415,71.61180759480496,81.04020602716446,0.8042,12.400785003880912
Sub04,O1,9,11.462372703083805,34.33204621972728,47.02809452401049,0.9574,8.980250081306522
Sub04,O2,9,8.824553974375004,30.425525085067218,41.24767430243962,0.9646,8.11263855838024
Sub04,O3,9,11.496344112142275,33.873061006856716,45.746861365177885,0.9586,9.896819026829657
Sub04,O4,9,8.927799196282383,30.314233750173237,42.80852126734609,0.9626,7.747544004514669
Sub05,O0,9,39.54183167759986,89.40042693947603,105.98421304537833,0.6154,19.644339975267805
Sub05,O1,9,16.623275346865196,41.14935387270835,50.61298679947339,0.9488,10.98247805119453
Sub05,O2,9,14.182350640659365,35.12323561951662,42.61295211844224,0.9634,11.493942439555566
Sub05,O3,9,13.940627507299912,37.32113056328622,47.891591748437335,0.9572,10.62423430295102
Sub05,O4,9,13.703700470281817,34.60999788887093,41.09456440783701,0.9656,11.082858003393046
Sub06,O0,9,30.11309435268067,72.67517173269695,94.03279169525312,0.7772,17.363421862298047
Sub06,O1,9,20.91144984893653,67.5887744168178,84.5336664669686,0.8156,17.116849236177522
Sub06,O2,9,17.67923141439517,55.33708551310197,72.07699157436203,0.866,16.02562559667954
Sub06,O3,9,19.60448834689606,67.44527053134965,80.12110608360376,0.8326,17.31111878125378
Sub06,O4,9,17.711952906901573,55.3972043453463,72.07868143627418,0.862,15.960199621678079
Sub07,O0,9,35.88898868087643,96.19894147909022,114.28405525082283,0.6352,22.86287200749274
Sub07,O1,9,21.689220584312206,74.32694851278869,95.08040342512365,0.7644,19.210441853134604
Sub07,O2,9,21.36990941522444,64.85554694895544,90.36690717822411,0.8472,19.522633173046735
Sub07,O3,9,21.68859418630926,77.49893956957763,96.17658180376235,0.7544,18.803321460036706
Sub07,O4,9,21.220235464780764,65.13101169397585,91.63612028701407,0.8452,18.965194274273692
